City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,youhao,47.8667,128.8333,89.11,33,95,4.92,CN,1689919994
220,lilongwe,-13.9669,33.7873,63.79,64,2,5.86,MW,1689919995
221,smithers,54.7804,-127.1743,61.12,94,75,11.5,CA,1689919995
222,laguna,38.421,-121.4238,82.92,52,0,4.61,US,1689919996
223,hammerfest,70.6634,23.6821,48.65,93,75,10.36,NO,1689919996
224,east london,-33.0153,27.9116,52.74,66,0,11.5,ZA,1689919997
225,sao vicente,-23.9631,-46.3919,68.27,26,12,2.33,BR,1689919997
226,itajuipe,-14.6781,-39.375,65.77,99,77,2.55,BR,1689919998
227,howrah,22.5892,88.3103,89.6,74,75,9.22,IN,1689919865
228,kununurra,-15.7667,128.7333,87.78,25,10,9.22,AU,1689919999
229,labuan,5.2767,115.2417,78.55,86,100,26.75,MY,1689919999
230,magadan,59.5667,150.8,78.53,71,26,10.78,RU,1689920000
231,north shore,-36.8,174.75,57.0,76,100,8.01,NZ,1689920000
232,freeport,40.6576,-73.5832,75.96,87,0,6.91,US,1689920001
233,kapuskasing,49.4169,-82.4331,53.69,93,40,3.44,CA,1689919922
234,grand falls-windsor,48.9332,-55.6649,67.5,94,100,4.32,CA,1689920002
235,vigan,17.5747,120.3869,86.41,73,12,5.64,PH,1689920002
236,tsiombe,-25.3,45.4833,65.48,66,95,14.14,MG,1689920003
237,shibushi,31.4667,131.105,82.63,80,100,3.83,JP,1689920003
238,yunfu,22.9306,112.0373,94.59,53,50,3.47,CN,1689920004
239,polyarnyy,69.1989,33.4478,47.98,79,100,17.16,RU,1689919839
240,pisco,-13.7,-76.2167,60.03,88,7,4.61,PE,1689920005
241,veydelevka,50.1521,38.4492,66.34,85,100,10.0,RU,1689920005
242,haiku-pauwela,20.9219,-156.3051,76.05,78,20,18.41,US,1689920006
243,sola,-13.8833,167.55,77.67,80,90,18.63,VU,1689919870
244,aras-asan,8.8908,126.3033,84.96,75,82,4.74,PH,1689920007
245,tadmur,34.5608,38.2805,88.18,20,0,8.97,SY,1689920007
246,wuhai,39.6647,106.8122,78.71,38,82,18.79,CN,1689920008
247,ratnagiri,16.9833,73.3,81.7,83,100,15.9,IN,1689920008
248,qarqaraly,49.4058,75.4742,82.56,24,49,10.42,KZ,1689920009
249,alice springs,-23.7,133.8833,65.75,37,0,11.5,AU,1689919734
250,xiva,41.3783,60.3639,89.58,15,0,8.21,UZ,1689920011
251,tazovsky,67.4667,78.7,76.12,42,74,14.27,RU,1689920011
252,fernie,49.5,-115.0687,64.6,67,5,6.91,CA,1689920012
253,queenstown,-31.8976,26.8753,38.97,82,100,0.83,ZA,1689919779
254,crane,31.3974,-102.3501,85.03,32,66,13.69,US,1689920013
255,flin flon,54.7682,-101.865,62.94,68,43,5.35,CA,1689920013
256,alesund,62.4723,6.1549,56.34,96,20,3.44,NO,1689920014
257,virginia,37.5481,-77.4467,77.41,92,75,4.61,US,1689920014
258,codrington,-38.2667,141.9667,53.58,73,76,9.73,AU,1689920014
259,bazarnyye mataki,54.8833,49.9333,71.73,47,13,14.43,RU,1689920015
260,vilyuchinsk,52.9306,158.4028,62.87,89,100,6.51,RU,1689919783
261,longyearbyen,78.2186,15.6401,48.04,81,100,11.5,SJ,1689920016
262,saint-paul,-21.0096,55.2707,78.89,82,7,1.01,RE,1689920016
263,luganville,-15.5333,167.1667,76.17,82,74,8.25,VU,1689920017
264,yinchuan,38.4681,106.2731,84.72,26,84,3.0,CN,1689920017
265,isangel,-19.55,169.2667,69.93,68,8,12.24,VU,1689920018
266,chengzihe,45.3333,131.0667,85.55,66,62,3.87,CN,1689920018
267,fale old settlement,-9.3852,-171.2468,83.8,75,21,11.27,TK,1689919847
268,mugia,43.1041,-9.2179,57.9,83,2,3.71,ES,1689920019
269,zhangatas,43.5667,69.75,91.08,18,66,12.95,KZ,1689920020
270,aral,40.5156,81.2636,102.36,11,81,14.58,CN,1689920020
271,bonthe,7.5264,-12.505,76.95,87,100,6.06,SL,1689920020
272,enewetak,11.3474,162.3373,83.26,79,62,16.69,MH,1689920021
273,wanning,18.8003,110.3967,88.23,69,22,8.3,CN,1689920021
274,paita,-5.0892,-81.1144,70.36,82,14,10.09,PE,1689919885
275,kirkkonummi,60.1238,24.4385,64.8,61,3,9.78,FI,1689920022
276,port lincoln,-34.7333,135.8667,58.24,55,76,11.7,AU,1689919816
277,say,13.1007,2.3689,84.76,65,92,11.14,NE,1689920023
278,jayapura,-2.5333,140.7,87.19,77,65,6.29,ID,1689920023
279,darhan,49.4867,105.9228,77.63,45,30,6.38,MN,1689920024
280,upington,-28.4478,21.2561,39.58,52,0,4.61,ZA,1689920024
281,karratha,-20.7377,116.8463,80.83,28,3,14.23,AU,1689920024
282,akrehamn,59.2667,5.1833,55.99,93,100,4.61,NO,1689920025
283,saint-joseph,-21.3667,55.6167,76.48,72,2,5.37,RE,1689920025
284,port shepstone,-30.7414,30.455,56.43,68,75,7.9,ZA,1689919869
285,ulladulla,-35.35,150.4667,58.59,50,39,14.29,AU,1689919968
286,camacupa,-12.0167,17.4833,59.23,48,23,2.19,AO,1689920027
287,ouarzazat,30.9189,-6.8934,77.29,29,20,3.44,MA,1689920028
288,cannonvale,-20.2833,148.7,70.99,64,67,9.44,AU,1689920028
